source,target,weight
user108,user60,1
user97,user68,1
user68,user97,1
user96,user107,2
user7,user109,1
user109,user7,1
user41,user110,1
user41,user68,1
user68,user41,1
user107,user96,2
user23,user7,5
user7,user111,1
user111,user7,1
user64,user112,2
user112,user64,2
user112,user77,1
user112,user115,2
user112,user60,4
user60,user112,4
user109,user39,1
user39,user109,1
user6,user114,2
user114,user39,1
user6,user32,1
user39,user114,1
user47,user7,1
user1,user119,1
user119,user1,10
user100,user1,3
user100,user7,4
user7,user100,2
user7,user47,1
user7,user122,1
user122,user7,1
user23,user108,1
user108,user23,1
user108,user104,1
user104,user108,1
user60,user56,2
user115,user77,3
user119,user127,10
user119,user25,1
user1,user2,8
user1,user76,2
user76,user1,2
user1,user23,6
user54,user129,1
user116,user7,2
user7,user116,2
user54,user13,2
user13,user54,2
user77,user39,3
user77,user15,1
user77,user6,3
user77,user1,3
user77,user23,1
user77,user28,3
user77,user115,3
user77,user112,1
user77,user131,1
user77,user61,3
user129,user54,1
user54,user2,2
user2,user54,2
user127,user119,10
user127,user132,1
user132,user127,2
user7,user133,1
user133,user7,1
user105,user41,1
user41,user64,1
user64,user41,1
user57,user110,1
user113,user125,2
user125,user113,2
user54,user7,6
user7,user54,5
user113,user23,2
user113,user135,2
user135,user113,2
user78,user36,2
user36,user78,2
user2,user132,2
user132,user2,2
user96,user15,4
user110,user57,1
user110,user41,1
user132,user28,1
user28,user132,1
user111,user1,1
user132,user134,1
user134,user132,1
user132,user100,1
user100,user132,1
user41,user137,1
user15,user96,3
user137,user41,1
user7,user137,1
user137,user7,1
user1,user138,1
user138,user1,1
user132,user138,1
user138,user132,1
user100,user111,1
user111,user100,1
user100,user64,1
user64,user100,1
user41,user140,1
user140,user41,1
user7,user60,5
user60,user100,2
user7,user141,2
user141,user134,5
user134,user141,5
user141,user7,3
user132,user21,5
user139,user132,1
user132,user139,1
user78,user132,3
user2,user3,8
user132,user142,1
user142,user132,1
user110,user142,1
user1,user110,1
user110,user1,1
user142,user110,1
user110,user76,2
user2,user142,1
user142,user2,1
user110,user143,1
user143,user110,1
user75,user132,1
user110,user134,1
user134,user110,1
user132,user144,1
user144,user132,1
user1,user145,1
user145,user1,1
user146,user2,1
user60,user147,1
user41,user148,1
user148,user41,1
user23,user113,4
user21,user132,2
user93,user81,2
user78,user149,1
user149,user150,1
user150,user149,1
user132,user75,1
user2,user110,1
user110,user2,1
user110,user144,1
user144,user110,1
user41,user147,1
user147,user41,1
user132,user152,1
user104,user153,2
user81,user93,3
user152,user154,1
user154,user152,2
user152,user75,1
user110,user155,1
user132,user156,4
user156,user132,4
user132,user113,3
user113,user132,3
user155,user110,1
user41,user157,1
user157,user41,1
user149,user132,1
user132,user149,1
user113,user158,1
user158,user113,2
user56,user7,3
user7,user56,3
user41,user132,1
user153,user104,2
user132,user41,1
user114,user1,2
user1,user114,2
user1,user111,2
user60,user160,1
user160,user60,1
user114,user149,1
user149,user114,1
user114,user146,1
user78,user146,1
user146,user78,1
user122,user78,1
user132,user78,3
user146,user114,1
user114,user21,1
user7,user161,3
user161,user7,3
user21,user114,1
user132,user104,1
user104,user132,1
user132,user157,2
user157,user132,2
user1,user7,9
user7,user1,7
user132,user162,1
user162,user132,1
user41,user163,1
user163,user41,1
user41,user162,1
user162,user41,1
user2,user149,1
user149,user2,1
user75,user41,2
user143,user81,1
user143,user80,1
user80,user143,1
user1,user165,1
user165,user1,1
user152,user166,1
user166,user152,1
user2,user166,1
user166,user2,1
user110,user104,1
user41,user167,1
user167,user41,1
user41,user168,1
user168,user41,1
user132,user169,2
user169,user132,2
user81,user149,1
user142,user170,1
user170,user142,1
user45,user171,2
user171,user45,2
user64,user166,1
user166,user64,1
user113,user166,1
user166,user113,1
user60,user104,2
user60,user172,1
user64,user3,1
user113,user173,2
user173,user113,1
user41,user174,1
user172,user60,1
user166,user156,2
user156,user166,2
user175,user7,2
user45,user176,3
user161,user144,1
user144,user161,1
user7,user166,1
user161,user177,1
user177,user161,1
user149,user129,1
user129,user149,1
user144,user178,1
user178,user144,1
user75,user1,2
user75,user179,1
user179,user75,1
user75,user62,2
user62,user75,2
user143,user173,1
user149,user173,1
user173,user149,1
user173,user143,1
user166,user180,1
user180,user166,1
user174,user41,1
user149,user81,3
user144,user143,1
user143,user144,1
user60,user148,2
user148,user60,2
user2,user156,1
user156,user2,1
user1,user19,6
user132,user181,1
user181,user132,1
user135,user181,1
user181,user135,1
user132,user159,1
user159,user132,1
user135,user143,1
user143,user135,1
user148,user182,1
user182,user148,1
user144,user181,1
user181,user144,1
user181,user183,2
user183,user181,2
user143,user183,1
user183,user143,1
user142,user64,1
user64,user142,1
user184,user7,2
user7,user184,2
user80,user7,1
user7,user78,1
user78,user7,1
user147,user179,1
user179,user147,1
user7,user185,1
user185,user7,1
user176,user45,1
user183,user186,1
user186,user183,1
user135,user187,1
user187,user135,1
user33,user7,2
user7,user33,2
user78,user144,3
user7,user188,1
user188,user7,1
user104,user189,2
user189,user104,2
user104,user190,1
user190,user104,1
user104,user110,2
user104,user191,1
user191,user104,1
user104,user113,1
user113,user104,1
user6,user173,3
user110,user7,1
user104,user171,1
user171,user104,1
user143,user192,1
user192,user143,1
user60,user159,2
user159,user60,2
user2,user1,8
user57,user25,2
user60,user178,2
user7,user35,2
user60,user193,1
user193,user60,1
user60,user194,1
user194,user178,1
user194,user60,1
user178,user194,1
user7,user195,1
user195,user7,1
user29,user60,2
user62,user196,1
user196,user62,1
user60,user29,2
user60,user191,4
user7,user156,1
user156,user7,1
user60,user198,1
user60,user199,1
user199,user60,1
user7,user200,2
user200,user7,2
user132,user198,2
user198,user132,1
user35,user7,2
user194,user201,1
user201,user194,1
user100,user202,1
user202,user100,1
user142,user203,1
user203,user142,1
user7,user204,1
user142,user60,1
user7,user110,3
user60,user205,1
user206,user201,1
user201,user206,1
user207,user7,2
user200,user62,1
user60,user75,3
user75,user60,3
user75,user7,3
user60,user209,3
user7,user210,1
user210,user7,1
user142,user143,2
user143,user142,2
user60,user142,1
user7,user206,2
user149,user209,1
user120,user7,5
user7,user207,3
user7,user96,1
user104,user179,-1
user200,user179,-1
user149,user179,-1
user96,user7,2
user56,user60,2
user202,user211,1
user200,user13,1
user13,user200,1
user211,user202,1
user104,user149,1
user149,user104,1
user104,user60,3
user149,user62,1
user167,user211,1
user206,user7,2
user202,user212,1
user212,user202,1
user212,user209,1
user60,user212,4
user212,user60,4
user101,user134,1
user60,user213,2
user213,user60,2
user134,user101,1
user212,user7,1
user212,user132,1
user212,user29,1
user143,user153,1
user153,user143,2
user35,user110,2
user135,user214,1
user143,user215,1
user215,user143,1
user29,user212,1
user7,user212,1
user135,user152,1
user7,user179,-1
user39,user149,4
user149,user39,4
user214,user216,1
user216,user214,1
user174,user112,1
user153,user202,1
user29,user120,2
user60,user217,2
user60,user218,1
user218,user60,1
user209,user212,1
user217,user60,2
user217,user3,5
user135,user179,-1
user176,user219,1
user219,user176,1
user219,user110,1
user176,user220,1
user1,user223,7
user60,user1,7
user60,user7,7
user39,user2,8
user202,user176,1
user176,user202,1
user60,user224,4
user1,user225,1
user225,user1,1
user225,user209,1
user29,user1,4
user29,user219,1
user219,user29,1
user1,user132,1
user1,user227,1
user227,user1,1
user60,user228,1
user225,user45,1
user60,user214,2
user199,user185,1
user185,user199,1
user60,user230,1
user60,user231,1
user231,user60,1
user7,user232,3
user1,user104,1
user104,user1,2
user33,user1,8
user62,user149,1
user29,user171,1
user206,user233,1
user233,user206,1
user232,user7,2
user60,user208,3
user208,user60,3
user206,user234,1
user234,user206,1
user235,user7,5
user222,user7,2
user104,user202,3
user202,user104,3
user202,user236,1
user236,user202,1
user202,user237,1
user237,user202,10
user149,user238,1
user238,user149,1
user39,user239,1
user239,user64,1
user239,user39,1
user202,user135,2
user135,user202,2
user2,user7,5
user2,user60,5
user2,user62,8
user2,user77,2
user7,user2,5
user7,user39,5
user7,user41,5
user7,user21,5
user7,user72,2
user7,user62,6
user208,user62,1
user206,user240,1
user240,user206,2
user62,user208,1
user231,user241,1
user39,user143,2
user143,user39,2
user241,user231,1
user60,user242,6
user242,user60,6
user135,user2,1
user204,user7,1
user1,user64,3
user64,user1,3
user202,user244,1
user244,user60,2
user202,user56,1
user56,user202,1
user164,user60,5
user60,user164,5
user204,user80,1
user56,user114,1
user149,user80,5
user1,user245,1
user241,user80,3
user35,user246,1
user246,user35,1
user1,user247,1
user247,user1,1
user80,user241,3
user80,user64,1
user80,user204,1
user80,user149,5
user80,user81,8
user228,user60,2
user72,user21,1
user35,user248,2
user248,user35,2
user244,user245,2
user245,user244,2
user245,user250,1
user250,user245,1
user60,user251,1
user60,user250,3
user250,user60,3
user7,user175,2
user166,user206,1
user206,user166,1
user60,user244,4
user166,user158,1
user215,user249,1
user249,user215,1
user60,user243,5
user243,user60,6
user60,user252,1
user252,user60,1
user253,user95,1
user143,user7,5
user7,user143,4
user1,user234,1
user234,user1,1
user251,user245,1
user245,user251,1
user60,user88,2
user88,user60,4
user88,user104,3
user104,user88,3
user60,user255,1
user255,user60,1
user29,user251,2
user166,user7,3
user251,user29,2
user251,user60,5
user251,user1,5
user251,user202,5
user1,user251,2
user164,user163,1
user206,user256,1
user256,user206,1
user60,user257,10
user6,user258,1
user258,user6,1
user64,user219,1
user258,user259,1
user259,user258,2
user1,user260,1
user7,user260,4
user1,user261,1
user261,user1,1
user202,user158,1
user256,user153,1
user202,user240,2
user240,user202,2
user244,user113,1
user244,user114,1
user207,user262,1
user262,user207,1
user23,user263,2
user60,user264,4
user60,user265,4
user265,user60,4
user149,user266,1
user266,user149,1
user35,user267,1
user267,user35,1
user202,user141,1
user141,user202,1
user6,user268,3
user266,user60,5
user229,user215,1
user215,user229,1
user141,user41,1
user242,user141,1
user141,user242,1
user215,user221,2
user268,user6,3
user221,user215,2
user221,user269,1
user269,user221,1
user269,user3,1
user41,user141,1
user60,user269,1
user153,user7,1
user249,user167,1
user221,user171,1
user1,user109,1
user202,user230,1
user171,user221,1
user171,user235,2
user235,user171,1
user64,user7,3
user177,user1,4
user60,user77,4
user149,user25,10
user1,user271,1
user271,user1,1
user221,user272,1
user272,user221,1
user202,user153,4
user60,user261,2
user261,user60,2
user60,user273,2
user23,user231,1
user7,user243,4
user230,user202,2
user144,user78,5
user144,user153,1
user269,user7,1
user7,user269,1
user1,user274,1
user274,user1,1
user141,user1,2
user1,user141,1
user141,user273,1
user141,user275,1
user60,user276,3
user276,user60,3
user141,user256,1
user270,user277,1
user256,user141,1
user277,user270,1
user202,user127,1
user167,user249,1
user275,user141,1
user221,user202,4
user202,user221,4
user221,user64,1
user206,user221,1
user221,user206,1
user273,user60,3
user60,user279,2
user219,user64,5
user219,user109,1
user219,user21,5
user279,user60,8
user202,user278,3
user278,user202,3
user206,user29,1
user29,user206,1
user280,user281,1
user206,user282,1
user242,user274,1
user282,user206,1
user283,user284,10
user7,user240,2
user7,user285,1
user202,user286,1
user286,user202,1
user256,user287,1
user287,user256,1
user202,user288,1
user288,user202,1
user257,user265,4
user257,user242,5
user257,user104,5
user257,user60,5
user202,user134,2
user134,user202,1
user37,user219,2
user219,user37,2
user290,user215,1
user215,user290,1
user284,user283,10
user245,user291,1
user291,user245,1
user292,user202,1
user217,user149,1
user149,user217,1
user224,user257,4
user224,user60,5
user224,user144,1
user144,user224,1
user224,user171,1
user171,user224,1
user135,user293,1
user21,user60,5
user199,user104,1
user7,user294,1
user294,user7,1
user293,user204,1
user204,user293,1
user231,user28,1
user274,user295,2
user295,user274,2
user202,user292,1
user249,user64,1
user230,user101,2
user1,user296,1
user64,user249,1
user229,user297,1
user297,user229,1
user4,user282,2
user282,user4,2
user298,user299,1
user299,user298,1
user257,user29,5
user271,user202,1
user202,user271,1
user272,user7,2
user7,user272,2
user37,user301,1
user301,user37,1
user60,user299,2
user299,user60,3
user29,user302,1
user135,user303,1
user303,user135,1
user64,user301,1
user301,user64,1
user214,user60,3
user29,user304,1
user304,user29,1
user7,user254,1
user254,user7,1
user17,user254,1
user7,user135,2
user284,user21,1
user282,user305,1
user305,user282,1
user282,user306,1
user306,user282,1
user60,user229,2
user229,user60,2
user144,user282,1
user282,user144,1
user206,user307,1
user39,user308,2
user307,user206,1
user1,user180,1
user180,user1,1
user235,user20,1
user29,user198,1
user198,user29,1
user198,user60,2
user29,user274,2
user280,user29,1
user274,user29,2
user29,user280,1
user202,user206,3
user206,user202,3
user274,user204,1
user204,user274,1
user204,user186,2
user186,user204,2
user7,user266,2
user60,user223,7
user257,user279,4
user15,user167,1
user167,user15,1
user171,user309,1
user309,user171,1
user310,user282,1
user257,user274,5
user28,user231,1
user202,user204,2
user204,user202,2
user21,user308,6
user1,user311,1
user311,user1,1
user1,user312,1
user312,user1,1
user60,user312,4
user312,user60,2
user206,user273,2
user273,user206,2
user304,user93,1
user93,user304,1
user93,user62,3
user312,user221,1
user21,user93,8
user93,user21,8
user7,user314,2
user257,user314,4
user7,user249,1
user314,user257,4
user274,user108,1
user254,user17,2
user41,user233,2
user45,user313,1
user45,user315,1
user60,user202,3
user64,user316,1
user316,user64,1
user316,user274,1
user64,user317,1
user317,user64,1
user45,user318,1
user318,user45,1
user319,user284,1
user76,user110,3
user257,user275,4
user312,user62,1
user62,user312,1
user313,user45,10
user284,user319,1
user320,user60,1
user240,user7,4
user214,user221,1
user221,user214,1
user108,user7,1
user7,user108,1
user202,user322,1
user322,user202,1
user314,user7,4
user249,user323,1
user323,user249,1
user215,user324,1
user7,user219,1
user219,user7,2
user7,user228,1
user228,user7,1
user324,user215,1
user62,user304,1
user304,user62,1
user62,user325,1
user62,user202,2
user202,user62,4
user7,user326,1
user326,user7,1
user62,user285,1
user285,user62,1
user57,user7,8
user321,user274,2
user274,user321,2
user274,user327,1
user327,user274,1
user29,user328,1
user328,user29,1
user322,user329,1
user329,user322,1
user199,user219,1
user313,user135,1
user321,user202,3
user202,user321,3
user239,user28,1
user7,user296,4
user257,user334,3
user257,user338,5
user321,user345,1
user345,user321,1
user345,user346,1
user202,user289,2
user289,user202,2
user29,user347,1
user29,user186,1
user186,user29,1
user296,user7,5
user308,user39,4
user308,user21,3
user308,user1,3
user214,user202,1
user202,user214,1
user101,user315,-10
user257,user268,6
user249,user349,1
user349,user249,5
user257,user283,3
user340,user60,6
user257,user336,3
user35,user251,1
user251,user35,1
user239,user219,1
user219,user239,1
user266,user350,2
user350,user266,2
user7,user4,4
user60,user340,1
user60,user21,1
user324,user204,1
user346,user345,1
user321,user215,1
user215,user321,1
user62,user293,3
user293,user62,3
user202,user7,5
user202,user251,2
user352,user4,1
user7,user202,4
user353,user144,1
user144,user353,1
user7,user354,1
user354,user7,1
user64,user353,1
user141,user285,1
user350,user353,2
user353,user350,2
user135,user355,1
user355,user135,1
user202,user356,1
user356,user202,1
user310,user7,5
user41,user357,2
user285,user141,1
user324,user202,1
user202,user324,1
user304,user1,1
user353,user304,1
user304,user353,1
user257,user359,5
user257,user21,5
user346,user257,1
user204,user324,1
user60,user254,3
user339,user60,3
user1,user139,2
user139,user202,1
user202,user139,1
user139,user1,2
user219,user359,1
user359,user257,3
user257,user244,5
user359,user60,3
user270,user135,1
user135,user270,1
user37,user93,2
user285,user360,3
user285,user7,2
user7,user134,3
user288,user307,1
user202,user4,7
user324,user1,1
user1,user324,1
user144,user366,1
user249,user367,1
user367,user249,1
user7,user368,1
user368,user7,1
user254,user60,3
user39,user298,3
user298,user39,3
user325,user62,2
user358,user7,3
user358,user202,3
user202,user358,3
user228,user293,1
user249,user62,1
user62,user249,1
user356,user370,1
user370,user356,1
user249,user371,1
user371,user249,1
user356,user1,1
user1,user356,1
user372,user257,5
user41,user257,2
user372,user41,1
user41,user372,1
user293,user296,5
user202,user363,3
user363,user202,4
user257,user295,4
user41,user265,1
user265,user41,1
user7,user142,3
user149,user17,2
user17,user149,2
user17,user375,2
user17,user7,4
user29,user62,2
user62,user29,1
user33,user325,1
user325,user33,1
user339,user257,4
user202,user377,1
user377,user202,1
user33,user202,1
user202,user33,1
user41,user201,1
user374,user35,1
user257,user284,4
user366,user346,1
user346,user366,1
user366,user144,1
user215,user378,1
user378,user215,1
user322,user379,1
user379,user322,1
user372,user380,1
user380,user372,1
user6,user219,4
user219,user6,2
user219,user375,2
user273,user141,2
user285,user60,1
user60,user285,1
user360,user285,3
user309,user382,1
user382,user309,1
user248,user383,1
user383,user248,1
user178,user384,1
user384,user178,1
user372,user385,1
user385,user372,1
user134,user7,3
user386,user348,1
user348,user386,1
user353,user386,1
user386,user353,1
user386,user387,1
user387,user386,1
user383,user339,1
user339,user383,1
user148,user388,1
user380,user186,1
user186,user380,1
user346,user171,1
user143,user380,1
user380,user143,1
user134,user389,1
user389,user134,1
user134,user390,1
user390,user134,1
user390,user391,1
user391,user390,1
user257,user392,5
user4,user202,8
user4,user125,2
user125,user4,2
user330,user7,10
user143,user351,1
user351,user143,1
user393,user7,1
user393,user342,1
user342,user393,1
user7,user393,1
user342,user395,10
user266,user233,2
user77,user396,1
user396,user77,1
user357,user266,2
user249,user393,1
user357,user347,2
user393,user249,1
user257,user397,5
user77,user20,3
user77,user308,1
user7,user159,1
user156,user353,1
user353,user156,1
user346,user399,1
user4,user19,6
user399,user346,1
user347,user202,1
user257,user400,5
user400,user257,5
user57,user401,1
user401,user57,1
user401,user402,1
user171,user346,2
user402,user401,1
user393,user387,2
user387,user393,2
user393,user347,1
user347,user393,1
user80,user403,1
user403,user80,1
user288,user404,1
user404,user288,1
user215,user288,1
user288,user215,1
user401,user230,2
user230,user401,2
user347,user405,1
user405,user347,1
user345,user7,1
user7,user345,2
user235,user348,1
user348,user235,1
user235,user406,1
user406,user235,1
user64,user407,1
user393,user408,1
user408,user393,2
user4,user2,6
user155,user7,5
user7,user155,4
user198,user230,5
user293,user7,2
user353,user409,1
user409,user353,1
user410,user198,2
user410,user7,1
user410,user320,3
user410,user201,10
user312,user409,1
user409,user312,1
user198,user330,3
user330,user198,3
user198,user411,1
user411,user198,1
user257,user177,4
user198,user412,1
user412,user198,1
user198,user2,8
user2,user198,5
user320,user410,1
user298,user412,3
user412,user298,3
user257,user414,4
user257,user415,5
user414,user60,5
user202,user347,2
user1,user51,1
user412,user392,1
user1,user384,1
user384,user1,1
user392,user412,1
user239,user37,1
user37,user239,1
user7,user418,2
user396,user392,1
user418,user7,2
user392,user396,1
user1,user399,1
user399,user1,1
user418,user104,2
user149,user64,2
user104,user418,2
user257,user340,6
user236,user152,1
user320,user142,1
user142,user320,1
user356,user104,2
user104,user356,3
user215,user404,1
user404,user215,1
user259,user219,1
user219,user259,1
user300,user64,1
user64,user300,1
user270,user421,1
user421,user270,1
user405,user423,1
user423,user405,1
user257,user372,6
user333,user257,4
user387,user401,3
user401,user387,3
user330,user80,3
user80,user330,3
user257,user341,4
user104,user427,3
user427,user104,1
user353,user202,3
user202,user353,3
user144,user7,1
user7,user144,1
user350,user347,3
user256,user428,1
user428,user256,1
user143,user35,3
user283,user428,1
user350,user77,1
user77,user256,1
user256,user77,1
user428,user283,1
user77,user350,1
user7,user429,1
user429,user7,1
user77,user125,1
user125,user77,2
user256,user402,1
user402,user256,1
user371,user35,2
user347,user350,3
user257,user332,3
user394,user430,1
user257,user339,4
user366,user410,-10
user366,user432,1
user432,user410,-10
user423,user421,1
user421,user423,1
user239,user15,2
user386,user377,1
user383,user423,1
user423,user383,1
user423,user387,1
user387,user423,1
user270,user7,4
user353,user433,1
user433,user353,2
user257,user297,4
user215,user434,1
user45,user435,1
user435,user45,1
user433,user421,1
user421,user433,2
user286,user80,1
user80,user286,1
user404,user166,1
user166,user404,1
user405,user433,1
user433,user405,1
user433,user404,2
user404,user433,2
user7,user293,2
user7,user410,-1
user257,user322,4
user198,user288,1
user178,user181,2
user433,user436,1
user436,user433,1
user288,user198,1
user181,user178,2
user202,user301,4
user430,user394,1
user301,user202,4
user393,user203,1
user203,user393,1
user301,user437,1
user437,user301,1
user1,user438,1
user438,user1,1
user434,user215,1
user7,user270,5
user15,user297,2
user203,user439,1
user439,user203,1
user404,user51,1
user404,user308,1
user308,user404,1
user439,user184,1
user257,user105,6
user441,user60,1
user1,user442,1
user320,user443,2
user442,user1,1
user440,user444,1
user443,user320,2
user444,user440,1
user180,user445,1
user445,user180,3
user257,user310,4
user443,user410,-10
user399,user408,1
user408,user399,1
user325,user353,1
user353,user325,1
user298,user446,1
user446,user298,1
user1,user144,5
user144,user1,5
user214,user443,2
user257,user309,3
user443,user214,2
user378,user203,1
user352,user296,2
user219,user1,10
user219,user446,2
user7,user365,1
user365,user7,1
user446,user219,2
user310,user25,1
user363,user25,2
user1,user219,3
user436,user448,1
user448,user436,1
user202,user310,1
user7,user449,1
user449,user7,1
user310,user202,1
user1,user47,3
user257,user431,4
user397,user278,8
user397,user62,3
user397,user3,3
user397,user257,5
user320,user1,3
user1,user320,3
user304,user322,1
user322,user304,1
user297,user15,2
user322,user35,1
user363,user450,1
user450,user363,1
user254,user296,2
user203,user378,2
user206,user198,1
user198,user285,2
user285,user198,1
user51,user451,10
user451,user51,10
user451,user452,1
user452,user451,1
user51,user453,1
user51,user1,1
user384,user51,5
user453,user51,1
user453,user454,1
user257,user41,4
user198,user455,1
user443,user456,2
user35,user322,1
user35,user143,3
user35,user374,1
user35,user353,1
user198,user457,1
user457,user198,1
user198,user421,1
user421,user198,1
user198,user416,1
user353,user198,1
user198,user353,1
user416,user198,1
user346,user458,1
user458,user346,1
user443,user459,1
user456,user443,2
user459,user443,1
user459,user378,1
user375,user460,1
user460,user375,3
user460,user7,1
user460,user235,1
user460,user439,1
user438,user464,1
user464,user438,1
user408,user465,1
user405,user256,1
user256,user405,1
user4,user466,1
user465,user408,1
user427,user441,2
user441,user427,2
user408,user144,2
user144,user408,2
user466,user4,1
user441,user345,2
user345,user441,2
user467,user21,1
user21,user467,1
user467,user468,1
user467,user463,1
user1,user464,1
user7,user460,2
user408,user469,1
user464,user1,1
user35,user464,1
user468,user134,1
user134,user468,1
user469,user408,1
user463,user467,-3
user463,user468,1
user468,user463,1
user432,user274,5
user463,user462,2
user462,user463,2
user408,user470,1
user470,user408,1
user464,user35,1
user45,user62,5
user257,user312,4
user423,user468,1
user468,user423,1
user468,user467,-3
user51,user404,1
user51,user384,5
user412,user471,1
user471,user412,1
user350,user472,1
user202,user441,1
user441,user202,1
user1,user431,1
user431,user1,1
user472,user350,1
user7,user473,1
user427,user467,-10
user473,user7,2
user257,user369,4
user463,user425,1
user425,user463,1
user235,user455,2
user455,user235,2
user257,user417,4
user459,user475,1
user401,user476,1
user248,user197,1
user401,user383,2
user383,user401,1
user468,user386,1
user386,user468,1
user249,user7,5
user257,user264,5
user405,user477,1
user256,user469,2
user469,user256,2
user406,user257,1
user425,user478,1
user393,user405,1
user405,user393,1
user478,user425,1
user424,user7,2
user7,user424,2
user393,user479,1
user479,user393,1
user409,user148,1
user148,user409,1
user257,user376,6
user257,user373,4
user477,user405,1
user479,user477,1
user477,user479,1
user257,user269,5
user257,user420,6
user144,user401,3
user435,user480,1
user480,user435,1
user322,user479,2
user479,user322,2
user401,user144,3
user398,user346,5
user224,user462,2
user346,user398,5
user7,user310,-1
user7,user481,1
user481,user7,2
user394,user393,3
user393,user394,3
user257,user250,5
user257,user214,5
user423,user4,1
user405,user198,1
user322,user310,-10
user454,user453,1
user454,user101,1
user408,user454,2
user454,user408,1
user383,user482,1
user482,user383,1
user64,user186,1
user186,user64,1
user378,user7,1
user7,user378,1
user462,user483,2
user421,user472,1
user399,user484,1
user484,user399,1
user408,user387,1
user387,user408,1
user6,user198,2
user387,user472,1
user484,user228,1
user228,user484,1
user383,user348,1
user348,user383,1
user304,user485,1
user485,user304,1
user1,user486,1
user486,user1,10
user383,user487,1
user202,user60,5
user468,user488,1
user488,user468,1
user468,user489,1
user489,user468,1
user21,user490,8
user412,user77,1
user77,user412,1
user64,user256,1
user256,user64,1
user489,user132,1
user132,user489,1
user1,user416,1
user64,user104,10
user416,user1,1
user350,user489,2
user489,user350,2
user350,user492,2
user492,user350,2
user132,user202,2
user202,user132,2
user198,user472,2
user144,user57,1
user57,user144,1
user472,user198,1
user472,user399,1
user472,user412,2
user387,user493,1
user440,user7,2
user493,user387,1
user7,user440,2
user132,user7,10
user494,user386,1
user386,user494,1
user7,user489,1
user489,user7,1
user7,user447,3
user171,user493,1
user493,user171,1
user447,user7,4
user455,user4,2
